Home,Away,HomeGoals,AwayGoals
Bohemians,St. Patricks Athletic,0,0
Derry City,Sligo Rovers,2,1
Galway United,Drogheda United,0,1
Shamrock Rovers,Dundalk,1,1
Waterford,Shelbourne,1,1
Derry City,Dundalk,2,2
Drogheda United,Waterford,2,0
Shelbourne,Shamrock Rovers,2,2
Sligo Rovers,Bohemians,0,4
St. Patricks Athletic,Galway United,1,0
Derry City,Bohemians,0,1
Dundalk,Drogheda United,1,1
Shamrock Rovers,St. Patricks Athletic,2,0
Shelbourne,Galway United,1,1
Waterford,Sligo Rovers,0,0
Bohemians,Shamrock Rovers,3,2
Derry City,Waterford,4,2
Drogheda United,Shelbourne,1,2
Galway United,Sligo Rovers,1,0
St. Patricks Athletic,Dundalk,4,0
Galway United,Dundalk,2,2
Shamrock Rovers,Derry City,1,0
Shelbourne,St. Patricks Athletic,2,3
Sligo Rovers,Drogheda United,2,1
Waterford,Bohemians,0,1
Bohemians,Galway United,1,0
Derry City,Shelbourne,1,2
Dundalk,Waterford,5,0
Sligo Rovers,Shamrock Rovers,0,2
St. Patricks Athletic,Drogheda United,4,1
Drogheda United,Shamrock Rovers,0,0
Dundalk,Sligo Rovers,1,0
Galway United,Waterford,4,3
Shelbourne,Bohemians,0,0
St. Patricks Athletic,Derry City,0,0
